id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,0.0,Entire home/apt,225,1,45,2019-05-21,0.38,2,355
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,40.80902,0.0,Private room,150,3,0,2019-06-23,0.72,1,365
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,40.79851,0.0,Entire home/apt,80,10,9,2018-11-19,0.1,1,0
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,40.80316,0.0,Entire home/apt,135,5,53,2019-06-22,0.43,1,6
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,40.79685,0.0,Entire home/apt,190,7,0,2019-06-23,0.72,2,249
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71842,0.0,Entire home/apt,299,3,9,2011-12-28,0.07,1,0
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,0.0,Private room,60,1,19,2019-06-23,1.37,2,85
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,40.86754,0.0,Private room,80,4,0,2019-06-23,0.72,1,0
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,0.0,Entire home/apt,150,10,58,2017-08-13,0.49,1,75
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,0.0,Private room,150,1,0,2019-06-23,0.72,1,365
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40.66278,0.0,Entire home/apt,120,3,15,2019-05-27,0.39,1,345
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,40.69673,0.0,Private room,120,7,25,2018-09-30,0.23,1,311
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,0.0,Entire home/apt,115,3,11,2017-01-01,0.1,1,0
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,0.0,Entire home/apt,200,7,19,2019-03-25,0.22,1,257
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,0.0,Private room,110,5,19,2019-05-18,0.17,1,301
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71185,0.0,Private room,80,2,42,2019-06-30,0.38,1,263
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,0.0,Private room,55,7,27,2017-09-30,0.23,2,292
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,0.0,Entire home/apt,225,3,4,2017-09-24,0.16,1,0
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72162,0.0,Entire home/apt,230,9,49,2018-05-14,0.43,1,116
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,0.0,Private room,51,7,23,2019-06-01,0.43,1,88
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,0.0,Private room,65,2,49,2019-06-18,1.6,2,336
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,0.0,Entire home/apt,190,5,21,2019-01-02,0.2,1,224
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,0.0,Entire home/apt,130,6,16,2019-06-15,0.15,1,38
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,40.72912,0.0,Private room,50,1,2,2016-02-14,0.05,1,0
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.70032,0.0,Private room,65,4,24,2019-05-26,0.28,1,317
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,0.0,Entire home/apt,250,7,21,2019-05-21,0.3,1,158
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,0.0,Private room,89,1,1,2018-10-09,0.11,1,365
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,0.0,Private room,60,3,11,2019-01-03,0.87,3,219
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,0.0,Entire home/apt,140,7,12,2017-12-11,0.13,1,164
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,40.74294,0.0,Entire home/apt,199,5,38,2015-12-02,0.38,1,260
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40.77823,0.0,Entire home/apt,235,6,27,2019-04-27,0.27,1,199
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,40.77842,0.0,Entire home/apt,170,7,13,2019-06-26,0.12,1,224
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,0.0,Entire home/apt,100,4,25,2011-12-10,0.23,1,0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,0.0,Private room,75,2,9,2018-10-05,0.08,1,324
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,0.0,Private room,90,1,9,2011-09-18,0.08,1,245
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,0.0,Entire home/apt,150,5,21,2017-08-15,0.19,1,189
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,40.71341,0.0,Entire home/apt,105,3,32,2019-06-14,0.29,1,16
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.76754,0.0,Private room,130,2,50,2019-05-26,0.45,3,234
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,0.0,Private room,77,2,2,2019-01-01,0.02,1,178
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,40.71561,0.0,Entire home/apt,199,3,10,2018-06-11,0.1,1,280
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,0.0,Entire home/apt,140,2,4,2016-04-24,0.04,1,0
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,0.0,Private room,140,2,1,2011-09-19,0.01,1,1
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,0.0,Entire home/apt,160,3,11,2019-07-02,0.11,1,188
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,0.0,Entire home/apt,195,3,30,2019-06-17,0.28,1,248
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,0.0,Private room,69,2,34,2017-05-29,0.32,1,10
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,0.0,Entire home/apt,125,6,27,2018-12-27,0.25,1,189
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,40.70207,0.0,Private room,250,3,14,2011-04-25,0.13,1,189
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,0.0,Entire home/apt,250,3,4,2016-09-23,0.08,1,365
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,0.0,Entire home/apt,80,3,2,2015-11-02,0.04,1,0
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,40.70641,0.0,Private room,50,2,47,2019-06-19,0.94,1,37
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40.82374,0.0,Entire home/apt,100,2,18,2018-12-17,1.79,1,0
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,40.71627,0.0,Entire home/apt,200,4,33,2019-04-08,0.58,1,1
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,40.67994,0.0,Entire home/apt,150,5,52,2019-06-05,0.5,1,18
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,0.0,Private room,120,3,51,2019-06-24,0.48,3,250
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,40.74031,0.0,Entire home/apt,125,3,3,2015-07-17,0.03,1,0
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,40.76307,0.0,Entire home/apt,275,1,41,2019-06-26,0.38,1,299
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67252,0.0,Private room,55,2,52,2019-05-20,0.49,2,365
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,40.76244,0.0,Entire home/apt,195,5,10,2019-07-01,1.01,1,0
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,0.0,Private room,80,2,11,2017-11-13,0.48,1,0
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,40.76548,0.0,Shared room,105,6,10,2014-01-07,0.09,1,363
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,0.0,Private room,71,2,23,2019-07-01,0.22,1,91
55982,Cozy 2 br in sunny Fort Greene apt,264928,Sally,Brooklyn,Fort Greene,40.68656,0.0,Private room,68,3,37,2018-12-31,0.35,1,0
